depth,ion,spr,dose
66.6,45.6,1.091,49.2
66.7,45.2,1.091,48.8
66.8,44.8,1.092,48.4
66.9,44.5,1.092,48.0
67.0,44.2,1.092,47.7
67.1,43.9,1.092,47.4
67.2,43.6,1.093,47.1
67.3,43.3,1.093,46.8
67.4,43.0,1.093,46.4
67.5,42.7,1.093,46.2
67.6,42.4,1.094,45.9
67.7,42.1,1.094,45.6
67.8,41.8,1.094,45.3
67.9,41.6,1.094,45.0
68.0,41.3,1.095,44.7
68.1,40.9,1.095,44.3
68.2,40.5,1.095,43.9
68.3,40.2,1.095,43.5
68.4,39.8,1.096,43.1
68.5,39.4,1.096,42.7
68.6,39.0,1.096,42.3
68.7,38.6,1.096,41.9
68.8,38.4,1.097,41.6
68.9,38.0,1.097,41.2
69.0,37.6,1.097,40.8
69.1,37.3,1.097,40.5
69.2,37.0,1.098,40.1
69.3,36.7,1.098,39.8
69.4,36.3,1.098,39.4
69.5,36.0,1.098,39.1
69.6,35.6,1.099,38.7
69.7,35.4,1.099,38.4
69.8,35.1,1.099,38.1
69.9,34.7,1.099,37.7
70.0,34.4,1.1,37.4
70.1,34.1,1.1,37.0
70.2,33.8,1.1,36.7
70.3,33.5,1.101,36.5
70.4,33.1,1.101,36.1
70.5,32.8,1.101,35.8
70.6,32.6,1.101,35.5
70.7,32.3,1.102,35.2
70.8,31.9,1.102,34.8
70.9,31.6,1.102,34.5
71.0,31.3,1.102,34.2
71.1,31.0,1.103,33.8
71.2,30.7,1.103,33.5
71.3,30.4,1.103,33.2
71.4,30.1,1.103,32.9
71.5,29.7,1.104,32.5
71.6,29.5,1.104,32.2
71.7,29.2,1.104,31.9
71.8,28.9,1.104,31.6
71.9,28.5,1.105,31.2
72.0,28.2,1.105,30.9
72.1,28.0,1.105,30.6
72.2,27.7,1.106,30.3
72.3,27.4,1.106,30.0
72.4,27.0,1.106,29.6
72.5,26.7,1.106,29.3
72.6,26.5,1.107,29.0
72.7,26.2,1.107,28.7
72.8,25.9,1.107,28.3
72.9,25.6,1.107,28.0
73.0,25.3,1.108,27.7
73.1,25.0,1.108,27.4
73.2,24.8,1.108,27.1
73.3,24.5,1.108,26.8
73.4,24.2,1.109,26.5
73.5,23.9,1.109,26.2
73.6,23.6,1.109,25.9
73.7,23.4,1.11,25.6
73.8,23.2,1.11,25.4
73.9,22.9,1.11,25.1
74.0,22.6,1.11,24.8
74.1,22.3,1.111,24.5
74.2,22.0,1.111,24.2
74.3,21.8,1.111,23.9
74.4,21.5,1.111,23.6
74.5,21.2,1.112,23.3
74.6,20.9,1.112,23.0
74.7,20.6,1.112,22.7
74.8,20.4,1.113,22.4
74.9,20.1,1.113,22.1
75.0,19.8,1.113,21.8
75.1,19.6,1.113,21.6
75.2,19.3,1.114,21.3
75.3,19.1,1.114,21.1
75.4,18.9,1.114,20.9
75.5,18.7,1.114,20.6
75.6,18.5,1.115,20.4
75.7,18.2,1.115,20.1
75.8,18.0,1.115,19.9
75.9,17.7,1.116,19.6
76.0,17.5,1.116,19.4
76.1,17.3,1.116,19.1
76.2,17.1,1.116,18.9
76.3,16.8,1.117,18.5
76.4,16.5,1.117,18.2
76.5,16.3,1.117,18.0
76.6,16.0,1.118,17.7
76.7,15.9,1.118,17.5
76.8,15.6,1.118,17.2
76.9,15.3,1.118,16.9
77.0,15.1,1.119,16.7
77.1,14.9,1.119,16.5
77.2,14.7,1.119,16.3
77.3,14.5,1.12,16.1
77.4,14.3,1.12,15.8
77.5,14.1,1.12,15.6
77.6,13.9,1.12,15.4
77.7,13.7,1.121,15.2
77.8,13.5,1.121,15.0
77.9,13.3,1.121,14.8
78.0,13.1,1.122,14.6
78.1,12.9,1.122,14.4
78.2,12.8,1.122,14.2
78.3,12.6,1.122,14.0
78.4,12.4,1.123,13.7
78.5,12.2,1.123,13.5
78.6,11.9,1.123,13.2
78.7,11.7,1.124,13.0
78.8,11.5,1.124,12.8
78.9,11.4,1.124,12.6
79.0,11.2,1.124,12.4
79.1,11.1,1.125,12.3
79.2,10.9,1.125,12.1
79.3,10.7,1.125,11.9
79.4,10.6,1.126,11.8
79.5,10.4,1.126,11.6
79.6,10.3,1.126,11.5
79.7,10.1,1.126,11.3
